STATE,POSTCODE,STEMERG,CLSCHOOL,CLDAYCR,CLNURSHM,STAYHOME,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,ALCOPEN,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,END_HAIR,END_CONST,END_RELG,END_BRS,CLBAR2,CLMV2,CLGYM2,EVICINTN,EVICENF,RNTGP,UTILSO,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,RACETEST,RACECASE,RACEHOSP,RACEDEAT,VISITPER,VISITATT,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,WTPRD,WV_WTPRD,WV_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,Date,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
Alaska,AK,03/11/2020,03/16/2020,12/31/1899,12/31/1899,03/28/2020,04/24/2020,03/28/2020,04/24/2020,0,12/31/1899,0,0,0,04/24/2020,1,1,03/18/2020,04/24/2020,0,03/18/2020,05/08/2020,03/18/2020,05/08/2020,04/24/2020,12/31/1899,04/24/2020,05/08/2020,12/31/1899,12/31/1899,12/31/1899,03/23/2020,12/31/1899,12/31/1899,04/09/2020,12/31/1899,04/01/2020,06/05/2020,12/31/1899,04/02/2020,12/31/1899,01/01/1900,12/31/1899,03/20/2020,0,1,0,1,03/13/2020,03/13/2020,0,1,0,0,03/19/2020,04/20/2020,0,03/26/2020,1,1,0,1,0,370,970,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,1.11,"737,438","665,384","1,907",6.8,10.9,33,"4,453",20200628,883,489,23,,60,101,25,32,17,136,57,654,172,14,9,0,,2,2,1,0,0,0,0,14,0
Alabama,AL,03/13/2020,03/19/2020,03/20/2020,03/19/2020,04/04/2020,04/30/2020,03/28/2020,04/30/2020,0,12/31/1899,0,0,0,05/11/2020,1,1,03/19/2020,05/11/2020,0,03/28/2020,05/11/2020,03/28/2020,05/22/2020,05/11/2020,12/31/1899,05/11/2020,05/11/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/03/2020,12/31/1899,12/31/1899,12/31/1899,03/24/2020,04/21/2020,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/22/2020,03/16/2020,0,1,0,1,03/14/2020,12/31/1899,0,0,1,0,03/19/2020,04/30/2020,0,03/16/2020,1,1,0,0,0,275,875,26,39,1,0,12/31/1899,12/31/1899,43910,12/31/1899,12/31/1899,0,0,93.24,"4,887,871","52,420","3,261",5.6,16.8,43,"54,352",20200628,35441,12412,13429,,150,,,,2073,7375,3646,22198,9599,919,440,413,,4,,,,14,48,25,782,112
Arkansas,AR,03/11/2020,03/17/2020,12/31/1899,03/13/2020,12/31/1899,12/31/1899,12/31/1899,05/04/2020,0,12/31/1899,0,0,0,05/11/2020,1,1,03/19/2020,05/11/2020,0,03/20/2020,05/04/2020,12/31/1899,05/18/2020,05/06/2020,12/31/1899,05/04/2020,05/26/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/10/2020,12/31/1899,03/24/2020,05/21/2020,12/31/1899,04/02/2020,12/31/1899,12/31/1899,03/13/2020,03/13/2020,0,1,0,1,03/16/2020,03/16/2020,0,1,0,0,04/03/2020,04/27/2020,0,03/17/2020,1,1,0,0,0,451,1051,20,33,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,56.67,"3,013,825","53,179","2,717",4.5,17.2,44,"32,336",20200628,19818,9148,4476,,224,50,1378,,2698,1844,4817,15001,0,264,139,67,,2,,24,,19,,21,230,13
Arizona,AZ,03/11/2020,03/16/2020,12/31/1899,12/31/1899,03/31/2020,05/16/2020,03/30/2020,05/08/2020,1,12/31/1899,0,0,0,05/08/2020,1,1,03/20/2020,05/11/2020,0,03/20/2020,05/13/2020,03/20/2020,05/16/2020,05/08/2020,12/31/1899,12/31/1899,05/16/2020,06/29/2020,06/29/2020,06/29/2020,12/31/1899,03/24/2020,12/31/1899,12/31/1899,12/31/1899,04/01/2020,04/17/2020,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/25/2020,03/25/2020,0,1,1,1,03/13/2020,03/13/2020,0,1,0,0,03/21/2020,05/01/2020,0,03/18/2020,1,1,0,1,0,240,840,26,39,0,0,12/31/1899,12/31/1899,0,03/11/2020,12/31/1899,1,1,62.91,"7,171,646","113,990","10,007",5.4,14,39,"59,282",20200628,73908,11819,1681,18115,547,6132,,,1409,34205,18115,21588,34205,1588,691,46,339,17,283,,,33,179,339,1070,179
California,CA,03/04/2020,12/31/1899,12/31/1899,12/31/1899,03/19/2020,12/31/1899,03/19/2020,05/08/2020,0,06/18/2020,0,0,1,05/05/2020,1,0,03/19/2020,12/31/1899,0,03/19/2020,12/31/1899,03/19/2020,12/31/1899,12/31/1899,04/28/2020,06/12/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/27/2020,12/31/1899,12/31/1899,04/02/2020,12/31/1899,03/30/2020,04/23/2020,12/31/1899,03/23/2020,03/20/2020,12/31/1899,03/30/2020,03/18/2020,0,1,0,1,03/11/2020,04/08/2020,1,0,0,0,03/19/2020,04/22/2020,0,03/12/2020,1,1,0,0,0,450,1050,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,241.65,"39,557,045","163,695","151,278",5.5,12.8,33,"268,818",20200628,211243,24242,6309,80875,9724,266,900,1019,19484,68424,80875,61944,68424,5905,1868,533,2348,831,18,22,34,57,194,2348,3363,194
Colorado,CO,03/11/2020,03/23/2020,12/31/1899,03/12/2020,03/26/2020,04/27/2020,03/26/2020,05/01/2020,1,12/31/1899,0,0,0,04/23/2020,1,1,03/17/2020,05/27/2020,0,03/17/2020,06/04/2020,03/17/2020,06/18/2020,05/01/2020,12/31/1899,04/26/2020,06/18/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/20/2020,12/31/1899,04/01/2020,05/16/2020,04/10/2020,03/26/2020,03/20/2020,12/31/1899,04/01/2020,03/20/2020,0,1,0,1,03/11/2020,12/31/1899,0,1,0,0,03/23/2020,04/27/2020,0,03/20/2020,0,0,0,0,0,618,1218,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,54.72,"5,695,564","104,094","9,619",3.9,9.6,31,"38,526",20200628,32307,11090,1747,12212,794,174,125,326,271,5556,12212,14527,5556,1676,1049,108,355,56,8,6,20,7,63,355,1254,63
Connecticut,CT,03/10/2020,03/17/2020,12/31/1899,03/09/2020,12/31/1899,12/31/1899,03/23/2020,05/20/2020,0,04/20/2020,0,0,1,04/03/2020,1,1,03/16/2020,05/20/2020,1,03/16/2020,06/17/2020,03/16/2020,06/17/2020,06/01/2020,12/31/1899,05/29/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/10/2020,03/20/2020,04/10/2020,03/12/2020,12/31/1899,03/28/2020,04/24/2020,04/02/2020,03/27/2020,03/19/2020,12/31/1899,03/19/2020,03/18/2020,0,1,0,1,03/13/2020,12/31/1899,0,0,1,0,12/31/1899,12/31/1899,1,12/31/1899,1,0,0,1,0,649,1249,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,644.54,"3,572,665","5,543","3,033",5.5,10.4,36,"31,230",20200628,46303,16121,6053,8701,670,,,,254,14333,8701,16121,14333,4316,3151,642,373,45,,,,15,62,373,3151,62
District of Columbia,DC,03/11/2020,03/16/2020,12/31/1899,12/31/1899,04/01/2020,05/29/2020,03/25/2020,05/29/2020,0,04/15/2020,1,0,0,04/15/2020,1,0,03/16/2020,05/29/2020,1,03/17/2020,06/22/2020,03/17/2020,06/22/2020,05/29/2020,12/31/1899,06/22/2020,05/29/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/15/2020,12/31/1899,03/17/2020,12/31/1899,04/01/2020,05/19/2020,12/31/1899,04/03/2020,04/06/2020,12/31/1899,03/19/2020,03/12/2020,0,1,0,1,03/15/2020,03/15/2020,1,0,0,0,12/31/1899,12/31/1899,0,12/31/1899,1,1,0,0,0,444,1044,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,"11,496.81","702,455",61,"6,521",7.5,16.2,32,"5,008",20200628,10248,2103,5117,,163,26,29,,2593,217,2953,6140,1155,550,60,404,73,8,,,,5,0,73,477,0
Delaware,DE,03/13/2020,03/16/2020,04/06/2020,12/31/1899,03/24/2020,06/01/2020,03/24/2020,05/08/2020,1,04/28/2020,0,1,0,05/01/2020,1,1,03/16/2020,06/01/2020,0,03/19/2020,06/01/2020,03/19/2020,06/01/2020,06/08/2020,12/31/1899,05/20/2020,06/15/2020,12/31/1899,12/31/1899,12/31/1899,03/24/2020,03/24/2020,12/31/1899,03/24/2020,12/31/1899,03/26/2020,04/30/2020,04/13/2020,03/27/2020,12/31/1899,01/01/1900,12/31/1899,03/18/2020,1,1,0,1,03/12/2020,12/31/1899,0,1,0,0,12/31/1899,12/31/1899,1,12/31/1899,1,1,1,1,1,400,1000,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,388.58,"967,171","2,489",921,5.7,12.5,41,"9,433",20200628,11226,3353,2970,3177,167,,,,548,1011,3177,7038,1011,507,318,130,31,1,,,,6,21,31,455,21
Florida,FL,03/09/2020,03/17/2020,12/31/1899,03/15/2020,04/03/2020,05/18/2020,12/31/1899,05/18/2020,1,12/31/1899,0,0,0,05/11/2020,1,1,03/20/2020,05/18/2020,0,03/20/2020,05/18/2020,03/20/2020,12/31/1899,05/11/2020,12/31/1899,12/31/1899,12/31/1899,06/26/2020,12/31/1899,12/31/1899,04/02/2020,04/02/2020,12/31/1899,12/31/1899,12/31/1899,03/30/2020,05/27/2020,12/31/1899,03/16/2020,12/31/1899,12/31/1899,12/31/1899,03/18/2020,0,1,1,1,03/11/2020,12/31/1899,0,1,0,0,03/20/2020,05/08/2020,0,03/31/2020,1,1,0,0,0,275,875,12,25,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,323.90,"21,299,325","65,758","28,328",5.2,13.6,42,"205,426",20200628,141075,31471,21819,42643,,,,,5240,39902,42643,51226,47206,3419,1653,707,854,,,,,106,99,854,2343,222
Georgia,GA,03/14/2020,03/18/2020,12/31/1899,04/03/2020,04/03/2020,05/01/2020,12/31/1899,05/01/2020,0,12/31/1899,0,0,0,04/27/2020,1,1,04/03/2020,04/27/2020,0,04/03/2020,04/24/2020,04/03/2020,04/27/2020,04/24/2020,12/31/1899,06/16/2020,06/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/24/2020,06/05/2020,04/10/2020,04/01/2020,12/31/1899,01/01/1900,03/18/2020,03/18/2020,0,1,0,1,03/12/2020,03/16/2020,0,1,0,0,12/31/1899,04/20/2020,1,12/31/1899,1,1,1,1,1,365,965,14,27,0,0,12/31/1899,12/31/1899,0,04/01/2020,12/31/1899,0,0,177.02,"10,519,475","59,425","10,443",4.8,14.3,36,"85,202",20200628,77210,19644,21945,12565,1163,54,76,,1674,20089,12565,38050,26595,2778,1254,1312,135,44,3,5,,10,15,135,2613,30
Hawaii,HI,03/04/2020,03/16/2020,12/31/1899,03/17/2020,03/25/2020,05/31/2020,03/25/2020,05/07/2020,0,04/16/2020,1,1,0,04/16/2020,1,1,03/17/2020,06/05/2020,0,12/31/1899,06/19/2020,03/17/2020,12/31/1899,06/15/2020,12/31/1899,06/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/16/2020,03/17/2020,12/31/1899,12/31/1899,12/31/1899,04/17/2020,05/28/2020,12/31/1899,03/26/2020,12/31/1899,12/31/1899,04/15/2020,03/30/2020,0,1,0,0,03/13/2020,12/31/1899,0,0,0,1,04/16/2020,04/26/2020,0,03/16/2020,1,0,0,1,0,648,1248,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,129.94,"1,420,491","10,932","6,412",3.8,8.8,39,"11,415",20200628,899,175,9,,278,,249,,16,172,,,,18,,,,,,,,,18,,,
Iowa,IA,03/09/2020,04/02/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/26/2020,05/15/2020,0,12/31/1899,0,0,0,12/31/1899,1,1,03/17/2020,05/15/2020,0,03/17/2020,05/15/2020,03/17/2020,05/22/2020,05/15/2020,12/31/1899,05/01/2020,05/28/2020,12/31/1899,12/31/1899,12/31/1899,03/19/2020,03/19/2020,12/31/1899,03/27/2020,12/31/1899,03/25/2020,06/05/2020,12/31/1899,03/25/2020,12/31/1899,12/31/1899,03/26/2020,03/13/2020,0,1,,1,03/14/2020,12/31/1899,0,1,0,0,03/27/2020,04/27/2020,1,12/31/1899,1,1,1,1,0,481,1081,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,56.09,"3,156,145","56,273","2,315",3.6,11.2,37,"30,367",20200628,28486,17948,2564,,1994,284,284,,284,5128,7122,16809,4273,706,564,34,,23,5,12,,2,65,49,576,79
Idaho,ID,03/13/2020,03/24/2020,12/31/1899,12/31/1899,03/25/2020,05/01/2020,03/25/2020,05/01/2020,0,12/31/1899,0,0,0,12/31/1899,1,1,03/25/2020,05/16/2020,0,03/25/2020,05/16/2020,03/25/2020,05/30/2020,05/16/2020,12/31/1899,05/01/2020,05/30/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/02/2020,12/31/1899,12/31/1899,03/26/2020,12/31/1899,12/31/1899,04/06/2020,03/17/2020,0,1,0,1,03/13/2020,12/31/1899,0,0,1,0,12/31/1899,12/31/1899,0,03/27/2020,1,1,1,0,0,448,1048,20,33,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,20.99,"1,754,208","83,569","2,315",4,11.8,36,"14,261",20200628,5319,2675,79,,60,72,20,187,551,1672,1186,2128,2004,91,85,1,,2,1,,,1,0,6,84,1
Illinois,IL,03/09/2020,03/17/2020,03/23/2020,12/31/1899,03/21/2020,05/29/2020,03/21/2020,05/29/2020,0,05/01/2020,0,0,1,05/01/2020,1,1,03/16/2020,05/29/2020,1,03/21/2020,05/29/2020,03/21/2020,06/26/2020,05/29/2020,12/31/1899,05/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/21/2020,12/31/1899,03/18/2020,12/31/1899,04/01/2020,04/17/2020,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/19/2020,03/19/2020,1,1,0,1,03/14/2020,12/31/1899,1,0,0,0,12/31/1899,05/11/2020,0,03/16/2020,1,1,0,1,0,484,1084,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,220.00,"12,741,080","57,914","10,199",5.5,12.1,36,"110,022",20200628,141723,29505,23774,46213,4119,214,366,,5361,32171,46213,63339,32171,6888,3061,1923,1417,325,9,6,,49,98,1417,5373,98
Indiana,IN,03/06/2020,03/20/2020,12/31/1899,12/31/1899,03/25/2020,05/18/2020,03/25/2020,05/18/2020,0,12/31/1899,0,0,0,05/01/2020,1,1,03/16/2020,05/18/2020,0,03/24/2020,06/01/2020,03/25/2020,06/12/2020,05/11/2020,12/31/1899,05/08/2020,06/12/2020,12/31/1899,12/31/1899,12/31/1899,03/19/2020,12/31/1899,12/31/1899,03/19/2020,12/31/1899,03/27/2020,05/14/2020,04/13/2020,03/25/2020,12/31/1899,12/31/1899,03/30/2020,03/30/2020,0,1,0,1,03/12/2020,12/31/1899,0,1,0,0,03/16/2020,04/27/2020,0,03/26/2020,1,1,0,1,0,390,990,26,39,1,0,12/31/1899,12/31/1899,43918,12/31/1899,12/31/1899,0,1,183.74,"6,691,878","36,420","5,471",4.4,13.1,40,"65,693",20200628,44930,20045,5513,,692,,,,8065,10615,5181,14971,24778,2427,1565,355,,13,,,,313,181,46,1297,1084
Kansas,KS,03/12/2020,03/18/2020,12/31/1899,12/31/1899,03/30/2020,05/04/2020,03/30/2020,05/04/2020,1,12/31/1899,0,0,0,12/31/1899,1,1,03/30/2020,05/04/2020,0,12/31/1899,05/18/2020,12/31/1899,05/22/2020,05/18/2020,12/31/1899,05/04/2020,06/08/2020,12/31/1899,12/31/1899,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/16/2020,12/31/1899,04/01/2020,04/25/2020,12/31/1899,03/24/2020,12/31/1899,12/31/1899,06/22/2020,04/01/2020,1,1,1,1,03/13/2020,12/31/1899,0,1,0,0,12/31/1899,12/31/1899,0,03/31/2020,1,0,0,0,1,488,1088,16,29,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,35.39,"2,911,505","82,278","2,381",3.8,12,38,"27,537",20200628,13538,8686,1223,,751,99,,,470,2309,5784,5510,2244,264,185,61,,9,2,,,3,4,32,223,9
Kentucky,KY,03/06/2020,03/16/2020,03/23/2020,12/31/1899,12/31/1899,12/31/1899,03/26/2020,05/11/2020,0,05/11/2020,0,0,1,05/11/2020,1,1,03/16/2020,05/22/2020,0,03/18/2020,06/01/2020,03/18/2020,06/01/2020,05/25/2020,12/31/1899,05/20/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/01/2020,03/25/2020,12/31/1899,03/16/2020,12/31/1899,03/28/2020,05/20/2020,12/31/1899,03/25/2020,12/31/1899,12/31/1899,03/18/2020,03/18/2020,0,1,0,1,03/11/2020,12/31/1899,0,1,0,0,03/18/2020,05/06/2020,0,03/16/2020,1,1,1,0,0,552,1152,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,110.58,"4,468,402","40,408","4,079",5.2,16.9,44,"48,707",20200628,15232,7843,1521,,440,51,32,669,,4676,1808,8680,4744,558,421,83,,7,,,8,,39,20,479,59
Louisiana,LA,03/11/2020,03/16/2020,12/31/1899,03/12/2020,03/23/2020,05/15/2020,03/23/2020,05/01/2020,0,12/31/1899,0,0,0,05/01/2020,1,1,03/17/2020,05/01/2020,1,03/17/2020,05/15/2020,03/17/2020,05/15/2020,05/15/2020,12/31/1899,06/05/2020,06/05/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/13/2020,12/31/1899,03/27/2020,05/20/2020,04/13/2020,03/23/2020,12/31/1899,12/31/1899,03/23/2020,03/13/2020,0,0,0,1,03/12/2020,03/12/2020,0,0,1,0,03/18/2020,04/27/2020,0,03/13/2020,1,1,0,1,0,247,847,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,88.97,"4,659,978","52,378","2,941",6.4,18.6,42,"46,048",20200628,56236,,,,,,,,,56236,,,56236,3199,1412,1655,,23,3,2,,17,104,64,2752,383
Massachusetts,MA,03/10/2020,03/16/2020,03/23/2020,03/16/2020,03/24/2020,05/18/2020,03/24/2020,05/18/2020,0,05/06/2020,1,0,0,05/06/2020,1,0,03/17/2020,06/08/2020,1,03/24/2020,12/31/1899,03/24/2020,12/31/1899,05/25/2020,05/18/2020,05/18/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/20/2020,04/20/2020,12/31/1899,03/24/2020,12/31/1899,03/25/2020,04/17/2020,04/10/2020,03/26/2020,03/11/2020,12/31/1899,03/16/2020,03/12/2020,0,1,1,1,03/12/2020,12/31/1899,0,0,1,0,03/18/2020,05/18/2020,0,03/18/2020,1,1,1,0,0,823,1423,26,39,0,0,12/31/1899,12/31/1899,0,04/06/2020,12/31/1899,1,1,653.98,"6,902,149","10,554","18,471",4.8,10,35,"59,152",20200628,108667,32600,10214,20972,2282,,,,5542,37164,20972,50638,37164,8060,5980,668,564,217,,,,540,96,564,7405,96
Maryland,MD,03/05/2020,03/16/2020,03/30/2020,04/05/2020,03/30/2020,05/15/2020,03/23/2020,05/15/2020,0,04/18/2020,1,1,0,04/18/2020,1,1,03/16/2020,05/29/2020,1,03/16/2020,06/19/2020,03/16/2020,12/31/1899,05/15/2020,12/31/1899,05/15/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/16/2020,12/31/1899,12/31/1899,03/16/2020,12/31/1899,04/01/2020,04/28/2020,04/13/2020,03/26/2020,04/01/2020,12/31/1899,04/01/2020,03/12/2020,0,1,0,1,03/12/2020,12/31/1899,0,0,1,0,03/24/2020,05/07/2020,1,12/31/1899,1,1,0,0,0,430,1030,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,487.08,"6,042,718","12,406","6,561",4.9,9,37,"50,568",20200628,66777,13091,19122,18058,1300,,,,3307,11899,18058,36820,11899,3168,1351,1283,344,125,,,,36,29,344,2795,29
Maine,ME,03/15/2020,04/02/2020,12/31/1899,12/31/1899,04/01/2020,05/31/2020,03/25/2020,05/01/2020,0,05/01/2020,0,0,1,05/01/2020,1,1,03/18/2020,06/01/2020,1,03/25/2020,06/17/2020,03/25/2020,07/01/2020,05/01/2020,12/31/1899,05/29/2020,06/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/16/2020,12/31/1899,03/16/2020,12/31/1899,03/28/2020,05/20/2020,12/31/1899,04/07/2020,12/31/1899,01/01/1900,12/31/1899,03/20/2020,0,1,0,1,03/14/2020,12/31/1899,0,1,0,0,12/31/1899,05/01/2020,0,03/18/2020,1,1,0,0,0,445,1045,26,39,0,0,03/24/2020,12/31/1899,0,12/31/1899,12/31/1899,0,1,37.83,"1,338,404","35,380","2,106",3.5,11.6,43,"14,715",20200628,3191,1881,761,,63,6,1,15,81,383,108,2478,605,104,92,2,,,,,,1,9,,87,17
Michigan,MI,03/10/2020,03/16/2020,03/24/2020,03/14/2020,03/24/2020,06/01/2020,03/24/2020,05/26/2020,1,04/26/2020,0,1,1,04/26/2020,1,0,03/16/2020,06/08/2020,1,03/16/2020,12/31/1899,03/16/2020,12/31/1899,06/16/2020,05/07/2020,12/31/1899,06/08/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/20/2020,12/31/1899,03/28/2020,12/31/1899,03/24/2020,04/09/2020,04/09/2020,04/06/2020,12/31/1899,01/01/1900,12/31/1899,03/12/2020,0,1,0,1,03/13/2020,12/31/1899,0,1,0,0,03/21/2020,05/29/2020,1,12/31/1899,1,1,1,1,1,362,962,20,33,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,103.36,"9,995,915","96,714","8,575",5.3,14.1,41,"98,903",20200628,69946,27320,20331,,1557,270,,4763,3987,11718,5595,45464,18885,6157,3181,2446,,79,19,,98,119,215,123,5110,923
Minnesota,MN,03/13/2020,03/18/2020,12/31/1899,03/16/2020,03/28/2020,05/18/2020,03/28/2020,04/27/2020,0,12/31/1899,0,0,0,06/01/2020,1,1,03/17/2020,06/01/2020,1,03/17/2020,06/10/2020,03/17/2020,06/10/2020,06/01/2020,12/31/1899,05/18/2020,06/10/2020,12/31/1899,12/31/1899,12/31/1899,03/24/2020,03/24/2020,12/31/1899,12/31/1899,12/31/1899,04/13/2020,05/27/2020,04/13/2020,03/27/2020,03/20/2020,12/31/1899,12/31/1899,03/28/2020,0,1,0,1,03/11/2020,12/31/1899,0,0,1,0,03/23/2020,05/10/2020,0,04/06/2020,0,1,1,1,0,462,1062,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,64.54,"5,611,179","86,936","7,977",3.4,9.6,34,"44,745",20200628,35549,13856,7457,,2660,307,84,733,4580,5872,8006,21102,6441,1425,1048,115,,47,22,3,7,20,163,45,1160,220
