STATE,POSTCODE,STEMERG,CLSCHOOL,CLDAYCR,CLNURSHM,STAYHOME,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,ALCOPEN,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,END_HAIR,END_CONST,END_RELG,END_BRS,CLBAR2,CLMV2,CLGYM2,EVICINTN,EVICENF,RNTGP,UTILSO,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,RACETEST,RACECASE,RACEHOSP,RACEDEAT,VISITPER,VISITATT,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,WTPRD,WV_WTPRD,WV_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,Date,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
Missouri,MO,03/13/2020,03/23/2020,12/31/1899,04/06/2020,04/06/2020,05/04/2020,12/31/1899,05/04/2020,1,12/31/1899,0,0,0,12/31/1899,1,1,03/23/2020,05/04/2020,0,12/31/1899,05/04/2020,12/31/1899,12/31/1899,05/04/2020,12/31/1899,05/27/2020,05/04/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/30/2020,05/20/2020,12/31/1899,03/25/2020,12/31/1899,12/31/1899,03/26/2020,03/23/2020,0,1,0,1,03/12/2020,12/31/1899,1,0,0,0,12/31/1899,12/31/1899,1,12/31/1899,1,1,0,0,0,320,920,13,26,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,87.89,"6,126,452","69,707","6,179",4.2,13.2,41,"63,117",20200628,20575,8946,5769,,,,,510,1571,3779,2209,13122,5242,997,580,351,,,,,8,28,28,25,864,106
Mississippi,MS,03/14/2020,03/20/2020,12/31/1899,03/24/2020,04/03/2020,04/27/2020,04/03/2020,04/27/2020,0,12/31/1899,0,0,0,05/07/2020,1,1,03/24/2020,05/07/2020,0,03/24/2020,05/11/2020,03/24/2020,06/01/2020,05/11/2020,12/31/1899,05/19/2020,06/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/01/2020,12/31/1899,03/19/2020,12/31/1899,03/27/2020,05/20/2020,04/10/2020,03/23/2020,12/31/1899,12/31/1899,03/16/2020,04/10/2020,0,1,0,1,03/12/2020,12/31/1899,0,1,0,0,03/19/2020,04/24/2020,0,03/21/2020,1,1,0,0,0,235,835,26,39,1,0,12/31/1899,12/31/1899,0,03/30/2020,12/31/1899,0,0,61.66,"2,986,530","48,432","1,184",7.1,19.7,43,"32,301",20200628,25892,6922,12973,1375,83,1012,,,1231,2296,1375,18839,5678,1039,428,523,16,0,61,,,7,4,16,956,67
Montana,MT,03/12/2020,03/16/2020,12/31/1899,03/15/2020,03/28/2020,04/26/2020,03/28/2020,04/27/2020,0,12/31/1899,0,0,0,12/31/1899,1,1,03/20/2020,05/04/2020,0,03/20/2020,05/15/2020,03/20/2020,05/15/2020,04/27/2020,12/31/1899,04/26/2020,05/04/2020,12/31/1899,12/31/1899,12/31/1899,03/30/2020,03/30/2020,12/31/1899,03/30/2020,12/31/1899,04/01/2020,12/31/1899,04/10/2020,03/30/2020,12/31/1899,12/31/1899,03/20/2020,03/19/2020,0,1,0,0,03/13/2020,12/31/1899,1,0,0,0,12/31/1899,12/31/1899,0,03/17/2020,1,1,0,0,0,552,1152,28,41,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,7.22,"1,062,305","147,040","1,357",3.5,13,39,"9,992",20200628,863,638,4,,2,112,,,14,93,62,698,103,22,13,,,,5,,,,4,,,
North Carolina,NC,03/10/2020,03/16/2020,12/31/1899,03/23/2020,03/30/2020,05/22/2020,03/30/2020,05/08/2020,1,06/26/2020,0,0,1,06/26/2020,1,1,03/17/2020,05/22/2020,0,03/25/2020,12/31/1899,03/25/2020,12/31/1899,05/22/2020,12/31/1899,05/16/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/19/2020,12/31/1899,03/27/2020,04/16/2020,04/13/2020,03/23/2020,12/31/1899,12/31/1899,12/31/1899,03/23/2020,0,1,0,1,03/13/2020,12/31/1899,0,1,0,0,12/31/1899,12/31/1899,0,03/17/2020,1,1,1,0,0,350,950,12,25,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,192.94,"10,383,620","53,819","9,314",5,14,39,"93,885",20200628,62142,23307,10186,,928,442,161,,7172,19946,18971,22346,20825,1322,742,426,,19,15,4,,69,47,113,1129,80
North Dakota,ND,03/13/2020,03/16/2020,12/31/1899,04/06/2020,12/31/1899,12/31/1899,12/31/1899,05/01/2020,0,12/31/1899,0,0,0,04/28/2020,1,1,03/20/2020,05/01/2020,0,03/20/2020,05/01/2020,03/20/2020,05/01/2020,05/01/2020,12/31/1899,12/31/1899,05/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/01/2020,05/01/2020,12/31/1899,03/24/2020,12/31/1899,12/31/1899,03/20/2020,03/20/2020,0,0,0,0,03/12/2020,03/12/2020,0,1,0,0,12/31/1899,12/31/1899,0,03/20/2020,1,1,0,0,0,618,1218,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,10.75,"760,077","70,698",557,2.8,10.7,35,"6,445",20200628,3495,,,,,,,,,3495,,,,79,,,,,,,,,79,,,
Nebraska,NE,03/13/2020,04/03/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,05/18/2020,0,12/31/1899,0,0,0,05/04/2020,1,1,04/03/2020,05/18/2020,0,04/03/2020,05/18/2020,04/03/2020,06/22/2020,06/01/2020,12/31/1899,05/04/2020,06/22/2020,12/31/1899,12/31/1899,12/31/1899,03/25/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/07/2020,06/18/2020,12/31/1899,04/02/2020,12/31/1899,12/31/1899,03/23/2020,03/17/2020,0,0,0,0,03/16/2020,12/31/1899,1,0,0,0,04/03/2020,05/04/2020,0,03/17/2020,1,1,0,0,0,440,1040,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,24.94,"1,929,268","77,348","2,365",3.5,11,37,"16,904",20200628,18899,7066,883,,883,126,12,,1299,8630,6057,3785,9057,267,114,10,,9,1,0,,3,130,30,91,146
New Hampshire,NH,03/13/2020,03/16/2020,12/31/1899,03/15/2020,03/28/2020,06/16/2020,03/28/2020,05/11/2020,0,12/31/1899,0,0,0,05/01/2020,1,1,03/16/2020,05/18/2020,1,03/27/2020,06/01/2020,03/28/2020,06/29/2020,05/11/2020,12/31/1899,05/29/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/17/2020,03/17/2020,12/31/1899,03/17/2020,12/31/1899,04/01/2020,05/12/2020,04/13/2020,03/23/2020,12/31/1899,12/31/1899,03/18/2020,03/17/2020,0,1,1,1,03/16/2020,03/16/2020,0,1,0,0,12/31/1899,12/31/1899,0,03/17/2020,0,1,1,1,0,427,1027,26,39,0,0,12/31/1899,12/31/1899,0,04/06/2020,12/31/1899,0,1,145.09,"1,356,458","9,349","1,396",3.6,7.6,41,"12,774",20200628,5747,3512,296,499,146,,,,258,1036,499,4212,1036,367,275,7,10,3,,,,9,63,10,294,63
New Jersey,NJ,03/09/2020,03/18/2020,03/18/2020,12/31/1899,03/21/2020,06/09/2020,03/21/2020,05/18/2020,0,04/08/2020,0,0,1,04/08/2020,1,1,03/16/2020,06/15/2020,1,03/16/2020,12/31/1899,03/16/2020,12/31/1899,06/22/2020,05/18/2020,06/09/2020,06/15/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/19/2020,04/24/2020,04/13/2020,12/31/1899,03/25/2020,05/08/2020,04/13/2020,03/23/2020,12/31/1899,12/31/1899,03/22/2020,03/20/2020,1,1,1,1,03/14/2020,12/31/1899,0,1,0,0,03/27/2020,05/26/2020,1,12/31/1899,1,1,0,1,0,713,1313,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,"1,021.27","8,908,520","8,723","8,862",4.9,9.5,35,"75,765",20200628,171182,35908,17223,30741,5140,,,,11901,70269,30741,70172,70269,13121,6952,2356,2613,716,,,,224,260,2613,10248,260
New Mexico,NM,03/11/2020,03/16/2020,12/31/1899,03/13/2020,03/24/2020,05/31/2020,03/24/2020,05/15/2020,1,05/16/2020,0,0,1,05/06/2020,0,0,03/19/2020,06/01/2020,1,03/19/2020,06/01/2020,03/19/2020,12/31/1899,06/01/2020,12/31/1899,05/13/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/24/2020,12/31/1899,03/19/2020,12/31/1899,03/27/2020,04/28/2020,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/20/2020,03/20/2020,0,1,0,0,03/12/2020,03/16/2020,1,0,0,0,03/27/2020,04/30/2020,0,12/31/1899,1,1,0,0,0,511,1111,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,17.23,"2,095,428","121,590","3,241",6.1,19.5,39,"19,007",20200628,11809,1373,227,3399,69,6000,,,,741,3399,7669,741,492,98,4,59,1,236,,,,94,59,339,94
Nevada,NV,03/12/2020,03/16/2020,12/31/1899,12/31/1899,03/31/2020,05/09/2020,03/21/2020,05/09/2020,0,06/26/2020,1,1,0,05/09/2020,0,1,03/21/2020,05/09/2020,0,03/21/2020,05/29/2020,03/21/2020,05/29/2020,05/09/2020,12/31/1899,05/29/2020,05/29/2020,12/31/1899,12/31/1899,12/31/1899,03/29/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/07/2020,12/31/1899,05/13/2020,04/07/2020,03/17/2020,12/31/1899,03/17/2020,03/17/2020,1,1,0,1,03/07/2020,03/16/2020,0,0,0,1,12/31/1899,12/31/1899,0,03/18/2020,1,0,0,0,0,469,1069,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,04/08/2020,1,1,27.44,"3,034,392","110,572","7,169",5.6,12.9,36,"24,715",20200628,17160,3160,975,4387,885,72,,,764,6917,4387,5092,6917,500,228,58,78,70,3,,,12,51,78,359,51
New York,NY,03/07/2020,03/18/2020,12/31/1899,03/13/2020,03/22/2020,06/13/2020,03/22/2020,05/15/2020,1,04/17/2020,1,0,0,04/17/2020,1,0,03/16/2020,06/22/2020,1,03/16/2020,12/31/1899,03/16/2020,12/31/1899,06/22/2020,06/08/2020,06/22/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/22/2020,03/22/2020,12/31/1899,03/13/2020,03/21/2020,04/01/2020,05/06/2020,12/31/1899,03/26/2020,03/16/2020,01/01/1900,12/31/1899,03/01/2020,0,1,1,1,03/14/2020,12/31/1899,1,0,0,0,03/20/2020,12/31/1899,0,03/12/2020,0,0,0,1,0,504,1104,26,39,0,0,12/31/1899,12/31/1899,43917,12/31/1899,12/31/1899,0,1,358.21,"19,542,209","54,555","92,091",5,13.6,37,"157,183",20200628,392539,,,,,,,,,392539,,,,26997,8244,6034,6378,1618,,,,1752,2971,6378,17648,2971
Ohio,OH,03/09/2020,03/17/2020,03/26/2020,03/11/2020,03/24/2020,05/20/2020,03/24/2020,05/04/2020,1,12/31/1899,0,0,0,04/29/2020,1,1,03/15/2020,05/15/2020,1,03/17/2020,05/20/2020,03/17/2020,06/10/2020,05/15/2020,12/31/1899,12/31/1899,05/15/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/13/2020,12/31/1899,03/26/2020,05/11/2020,04/13/2020,04/22/2020,12/31/1899,12/31/1899,03/19/2020,03/09/2020,0,1,1,1,03/10/2020,12/31/1899,0,1,0,0,03/18/2020,05/01/2020,0,03/16/2020,0,1,0,0,0,480,1080,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,260.77,"11,689,442","44,826","10,345",4.9,13.9,40,"124,264",20200628,50309,24486,13108,,1586,58,109,1824,3798,5340,3991,35187,11131,2807,2179,523,,30,1,1,35,16,22,59,2714,34
Oklahoma,OK,03/15/2020,03/17/2020,12/31/1899,03/16/2020,12/31/1899,12/31/1899,04/01/2020,04/24/2020,0,12/31/1899,0,0,0,12/31/1899,1,1,04/01/2020,05/01/2020,0,04/01/2020,05/01/2020,04/01/2020,05/01/2020,04/24/2020,12/31/1899,05/01/2020,05/15/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/30/2020,12/31/1899,04/13/2020,03/24/2020,12/31/1899,12/31/1899,03/25/2020,03/16/2020,0,1,0,1,03/13/2020,12/31/1899,0,1,0,0,03/24/2020,04/24/2020,0,03/21/2020,1,0,0,0,0,539,1139,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,56.41,"3,943,079","69,899","3,944",4.4,15.6,41,"40,933",20200628,12944,7465,958,,1086,910,,,511,2014,2563,8219,2162,385,291,28,,7,27,,,10,22,13,334,38
Oregon,OR,03/08/2020,03/16/2020,03/25/2020,12/31/1899,03/23/2020,06/19/2020,12/31/1899,05/15/2020,0,07/01/2020,0,0,1,05/09/2020,1,1,03/17/2020,06/19/2020,0,03/24/2020,06/19/2020,03/24/2020,12/31/1899,06/19/2020,12/31/1899,05/14/2020,06/19/2020,12/31/1899,12/31/1899,12/31/1899,04/01/2020,03/22/2020,12/31/1899,12/31/1899,12/31/1899,04/06/2020,04/29/2020,04/13/2020,03/25/2020,12/31/1899,12/31/1899,03/13/2020,03/13/2020,0,1,1,1,03/13/2020,03/13/2020,1,0,0,0,03/18/2020,05/01/2020,0,12/31/1899,1,1,0,1,0,648,1248,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,42.60,"4,190,713","98,379","15,876",5,12.6,40,"36,187",20200628,8341,3120,332,,303,153,230,218,2270,1715,2680,3933,1728,202,143,6,,9,3,4,2,16,19,23,157,22
Pennsylvania,PA,03/06/2020,03/16/2020,03/17/2020,03/17/2020,04/01/2020,06/05/2020,03/19/2020,06/05/2020,1,04/19/2020,0,0,1,04/19/2020,1,1,03/17/2020,06/05/2020,1,03/19/2020,12/31/1899,03/19/2020,12/31/1899,12/31/1899,05/01/2020,12/31/1899,06/05/2020,12/31/1899,12/31/1899,12/31/1899,03/18/2020,03/18/2020,12/31/1899,03/13/2020,12/31/1899,04/02/2020,05/06/2020,04/10/2020,03/27/2020,12/31/1899,12/31/1899,03/15/2020,03/20/2020,0,1,0,1,03/13/2020,12/31/1899,0,1,0,0,03/20/2020,04/27/2020,0,03/27/2020,1,1,0,0,0,572,1172,26,39,1,43915,03/18/2020,12/31/1899,already in effect 10/24/19,12/31/1899,12/31/1899,0,1,278.09,"12,807,060","46,054","13,199",4.9,12.2,40,"134,702",20200628,84370,25100,10800,,1300,,,,596,46574,6900,17300,60200,6579,4566,1368,,146,,,,319,180,372,6027,180
Rhode Island,RI,03/09/2020,03/16/2020,03/16/2020,03/13/2020,03/28/2020,05/09/2020,03/30/2020,05/09/2020,0,04/18/2020,0,0,1,04/18/2020,1,1,03/17/2020,05/18/2020,1,03/23/2020,06/01/2020,03/23/2020,06/30/2020,06/01/2020,12/31/1899,05/30/2020,06/01/2020,12/31/1899,12/31/1899,12/31/1899,03/19/2020,12/31/1899,12/31/1899,03/16/2020,12/31/1899,03/25/2020,04/10/2020,04/13/2020,03/25/2020,03/14/2020,12/31/1899,03/18/2020,03/18/2020,0,1,1,1,03/11/2020,12/31/1899,0,0,1,0,12/31/1899,12/31/1899,0,03/08/2020,0,1,0,1,0,190,790,26,39,0,43934,12/31/1899,04/13/2020,0,12/31/1899,12/31/1899,1,1,684.35,"1,057,315","1,545","1,055",5.5,12.9,38,"10,083",20200628,16661,4430,1535,5710,,,,345,448,4193,5710,6758,4193,927,608,46,78,,,,0,12,183,78,666,183
South Carolina,SC,03/13/2020,03/16/2020,12/31/1899,03/15/2020,04/07/2020,05/04/2020,04/01/2020,04/20/2020,1,12/31/1899,0,0,0,12/31/1899,1,1,03/18/2020,05/04/2020,1,04/01/2020,05/18/2020,04/01/2020,12/31/1899,05/18/2020,12/31/1899,12/31/1899,05/04/2020,12/31/1899,12/31/1899,12/31/1899,03/17/2020,12/31/1899,12/31/1899,03/18/2020,12/31/1899,03/24/2020,06/18/2020,04/10/2020,03/30/2020,12/31/1899,12/31/1899,03/19/2020,03/15/2020,0,1,0,1,03/12/2020,12/31/1899,0,1,0,0,12/31/1899,12/31/1899,0,03/19/2020,1,0,0,0,0,326,926,20,33,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,158.78,"5,084,127","32,020","4,172",5.3,15.3,41,"50,640",20200628,33320,11537,8716,,256,,,,2563,10245,3771,16163,13385,716,311,311,,6,,,,13,72,26,557,132
South Dakota,SD,03/13/2020,03/16/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,0,12/31/1899,0,0,0,12/31/1899,1,1,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/09/2020,12/31/1899,12/31/1899,03/24/2020,12/31/1899,12/31/1899,04/15/2020,03/23/2020,0,1,0,0,03/12/2020,12/31/1899,0,1,0,0,03/23/2020,04/28/2020,0,12/31/1899,1,1,0,1,0,414,1014,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,11.44,"882,235","77,116",995,3,13.1,35,"7,971",20200628,6681,2273,968,1077,700,962,,,701,0,1077,5604,0,91,,,,,,,,,91,,,
Tennessee,TN,03/12/2020,03/20/2020,12/31/1899,03/23/2020,04/02/2020,05/01/2020,04/01/2020,05/01/2020,1,12/31/1899,0,0,0,12/31/1899,1,1,03/23/2020,04/27/2020,0,03/23/2020,05/01/2020,03/23/2020,05/22/2020,05/06/2020,12/31/1899,12/31/1899,05/22/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/31/2020,12/31/1899,03/24/2020,05/19/2020,12/31/1899,03/30/2020,12/31/1899,12/31/1899,03/19/2020,03/13/2020,0,1,0,1,03/12/2020,01/01/1900,0,0,1,0,03/24/2020,05/01/2020,0,03/19/2020,1,1,0,1,0,275,875,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,160.64,"6,770,010","42,144","7,467",5.5,15.3,42,"71,078",20200628,40172,17261,8549,,556,61,40,,6743,6962,10928,20187,9057,584,335,201,,11,0,1,,34,2,51,527,6
Texas,TX,03/13/2020,03/23/2020,12/31/1899,03/21/2020,12/31/1899,12/31/1899,03/31/2020,05/01/2020,1,12/31/1899,0,0,0,05/08/2020,1,1,03/21/2020,05/01/2020,0,03/21/2020,05/18/2020,03/31/2020,05/01/2020,05/08/2020,12/31/1899,12/31/1899,05/22/2020,06/26/2020,12/31/1899,12/31/1899,12/31/1899,03/19/2020,12/31/1899,03/26/2020,12/31/1899,04/06/2020,05/08/2020,04/10/2020,03/30/2020,12/31/1899,12/31/1899,03/17/2020,03/17/2020,0,1,0,1,03/13/2020,03/13/2020,0,1,0,0,03/22/2020,04/21/2020,0,03/17/2020,1,1,1,0,0,521,1121,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,106.86,"28,701,845","268,596","25,848",4.9,14.9,35,"202,211",20200628,148723,5606,2535,7750,602,,,,117,132113,7750,8860,132113,2393,269,85,171,13,,,,5,1850,171,372,1850
Utah,UT,03/06/2020,03/16/2020,12/31/1899,04/01/2020,12/31/1899,12/31/1899,12/31/1899,05/01/2020,0,04/10/2020,0,0,1,04/10/2020,1,1,03/19/2020,05/01/2020,0,12/31/1899,05/01/2020,12/31/1899,05/01/2020,05/01/2020,12/31/1899,05/06/2020,05/01/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/01/2020,12/31/1899,12/31/1899,12/31/1899,04/15/2020,12/31/1899,12/31/1899,04/10/2020,12/31/1899,12/31/1899,03/25/2020,03/20/2020,0,1,1,0,03/12/2020,12/31/1899,0,1,0,0,03/25/2020,04/22/2020,0,12/31/1899,0,1,0,0,0,580,1180,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,37.23,"3,161,105","84,897","2,798",3.2,9,30,"18,354",20200628,21100,7275,584,9115,469,567,820,,2570,2479,9115,9506,2479,167,93,5,38,8,9,10,,12,7,38,122,7
Virginia,VA,03/12/2020,03/16/2020,12/31/1899,12/31/1899,03/30/2020,05/29/2020,12/31/1899,05/29/2020,0,05/29/2020,0,1,0,05/29/2020,1,1,03/25/2020,05/29/2020,1,03/25/2020,06/12/2020,03/25/2020,07/01/2020,05/15/2020,12/31/1899,05/15/2020,06/12/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/16/2020,12/31/1899,03/24/2020,04/25/2020,04/13/2020,03/23/2020,12/31/1899,12/31/1899,03/19/2020,03/19/2020,0,1,1,1,03/13/2020,03/13/2020,1,0,0,0,03/25/2020,05/01/2020,0,03/17/2020,1,1,0,1,0,378,978,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,199.13,"8,517,685","42,775","5,783",4.2,10.7,36,"69,359",20200628,61736,12993,8748,21163,2059,72,,181,1648,14872,21163,25701,14872,1732,942,376,189,100,2,,0,22,101,189,1442,101
Vermont,VT,03/13/2020,03/18/2020,03/18/2020,03/13/2020,03/25/2020,05/15/2020,03/25/2020,04/27/2020,0,12/31/1899,0,0,0,04/17/2020,1,1,03/17/2020,05/22/2020,1,03/23/2020,06/01/2020,03/25/2020,06/01/2020,05/29/2020,05/04/2020,05/23/2020,06/08/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/27/2020,12/31/1899,03/27/2020,05/04/2020,12/31/1899,03/30/2020,03/20/2020,12/31/1899,03/20/2020,03/30/2020,0,1,0,1,03/13/2020,12/31/1899,1,0,0,0,03/20/2020,05/04/2020,0,03/13/2020,1,1,0,1,0,513,1113,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,65.13,"626,299","9,616","1,089",3.8,11,39,"6,027",20200628,1202,981,113,,53,2,,0,22,31,41,1156,5,56,53,,,2,,,,1,0,0,56,0
Washington,WA,02/29/2020,03/17/2020,12/31/1899,03/16/2020,03/23/2020,06/01/2020,03/25/2020,05/05/2020,0,06/26/2020,0,0,1,05/04/2020,1,0,03/16/2020,12/31/1899,0,03/16/2020,12/31/1899,03/16/2020,12/31/1899,12/31/1899,12/31/1899,05/27/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/18/2020,03/18/2020,12/31/1899,03/18/2020,12/31/1899,03/27/2020,05/22/2020,12/31/1899,03/19/2020,03/10/2020,12/31/1899,03/25/2020,03/25/2020,0,1,1,1,03/13/2020,12/31/1899,0,1,0,0,03/19/2020,04/29/2020,0,03/18/2020,1,1,1,0,0,790,1390,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,105.69,"7,535,591","71,298","21,577",4.3,10.3,35,"56,877",20200628,31752,8116,1311,10297,1354,421,707,447,535,8564,10297,12891,8564,1310,875,40,154,110,18,12,16,26,59,154,1097,59
Wisconsin,WI,03/12/2020,03/18/2020,12/31/1899,12/31/1899,03/25/2020,05/13/2020,03/25/2020,05/11/2020,0,12/31/1899,0,0,0,12/31/1899,1,1,03/17/2020,05/13/2020,0,03/25/2020,05/13/2020,03/25/2020,05/13/2020,05/13/2020,12/31/1899,05/13/2020,05/13/2020,12/31/1899,12/31/1899,12/31/1899,03/27/2020,03/27/2020,12/31/1899,03/22/2020,12/31/1899,04/01/2020,04/22/2020,12/31/1899,04/20/2020,12/31/1899,12/31/1899,03/17/2020,03/12/2020,0,1,0,1,03/13/2020,12/31/1899,0,1,0,0,12/31/1899,12/31/1899,0,12/31/1899,1,1,0,1,0,370,970,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,88.76,"5,813,568","65,496","4,538",3.2,11,37,"53,684",20200628,27743,15303,4866,,1059,266,,,3332,2917,8679,15881,3183,777,538,183,,23,10,,,11,12,90,672,15
West Virginia,WV,03/16/2020,03/16/2020,03/26/2020,12/31/1899,03/24/2020,05/04/2020,03/24/2020,05/04/2020,1,12/31/1899,0,0,0,05/04/2020,1,1,03/18/2020,05/04/2020,1,03/19/2020,05/18/2020,03/24/2020,06/05/2020,05/04/2020,12/31/1899,12/31/1899,05/26/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/27/2020,04/30/2020,12/31/1899,03/30/2020,12/31/1899,12/31/1899,03/16/2020,03/17/2020,0,1,0,0,03/11/2020,12/31/1899,0,0,1,0,04/01/2020,04/20/2020,0,03/19/2020,1,1,0,0,0,424,1024,26,39,1,0,12/31/1899,12/31/1899,43921,03/31/2020,12/31/1899,0,1,74.53,"1,805,832","24,230","1,397",5.8,17.8,49,"23,478",20200628,2832,2261,208,,,,,,363,0,,,,93,58,3,,,,,,,32,,,
Wyoming,WY,03/13/2020,03/19/2020,03/19/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,05/01/2020,0,12/31/1899,0,0,0,05/01/2020,1,1,03/19/2020,05/15/2020,0,03/19/2020,05/01/2020,03/19/2020,05/15/2020,05/01/2020,12/31/1899,06/15/2020,05/15/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/01/2020,04/16/2020,12/31/1899,03/27/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,0,1,0,0,03/18/2020,12/31/1899,1,0,0,0,12/31/1899,12/31/1899,1,12/31/1899,1,0,0,0,0,508,1108,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,5.91,"577,737","97,813",548,3.9,11.1,36,"5,070",20200628,1121,594,12,152,6,309,4,,40,65,152,965,65,20,8,0,1,0,9,,,0,2,1,19,2
